"Prevalence.ethnicity","Prevalence.prevalence_rate_percent"
"Asian British: East Asian and Others","0%"
"Asian British: South Asian","0.23%"
"Black British: African","0%"
"Black British: Caribbean and Others","0.33%"
"Missing","0.23%"
"Mixed/Multiple ethnic groups","0.31%"
"Other ethnic group","0%"
"White","0.55%"
"White: Any other White background","0.38%"
