"Prevalence.ethnicity","Prevalence.prevalence_rate_percent"
"Asian British: East Asian and Others","17.78%"
"Asian British: South Asian","12.16%"
"Black British: African","27.27%"
"Black British: Caribbean and Others","15.85%"
"Missing","12.25%"
"Mixed/Multiple ethnic groups","20%"
"Other ethnic group","12.9%"
"White","13.53%"
"White: Any other White background","14.16%"
