"ethnicity_variable_label_8levels","Mean_Age_At_Death","SD_Age_At_Death","Count"
"Asian British: East Asian and Others",83.2565682093403,7.79954431091582,13
"Asian British: South Asian",83.4675658537814,8.5433289621256,299
"Black British: African",89.0403832991102,5.04991156133966,6
"Black British: Caribbean and Others",84.2620514324827,7.38318022316022,28
"Missing",87.0909618846345,7.23810069845204,1643
"Mixed/Multiple ethnic groups",87.4545592820747,6.86421866093407,18
"Other ethnic group",87.8329911019849,7.30925132327856,14
"White",86.4196781319286,7.49021295350307,5015
"White: Any other White background",87.3110510229668,6.32473092748652,202
